DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
281,2014-03-16,2014,3,16,1,11,7,Sunday,March,1,0,0,0,0,0,0
282,2014-03-17,2014,3,17,1,12,1,Monday,March,0,0,0,0,0,0,0
283,2014-03-18,2014,3,18,1,12,2,Tuesday,March,0,0,0,0,0,0,0
284,2014-03-19,2014,3,19,1,12,3,Wednesday,March,0,0,0,0,0,0,0
285,2014-03-20,2014,3,20,1,12,4,Thursday,March,0,0,0,0,0,0,0
286,2014-03-21,2014,3,21,1,12,5,Friday,March,0,0,0,0,0,0,0
287,2014-03-22,2014,3,22,1,12,6,Saturday,March,1,0,0,0,0,0,0
288,2014-03-23,2014,3,23,1,12,7,Sunday,March,1,0,0,0,0,0,0
289,2014-03-24,2014,3,24,1,13,1,Monday,March,0,0,0,0,0,0,0
290,2014-03-25,2014,3,25,1,13,2,Tuesday,March,0,0,0,0,0,0,0
291,2014-03-26,2014,3,26,1,13,3,Wednesday,March,0,0,0,0,0,0,0
292,2014-03-27,2014,3,27,1,13,4,Thursday,March,0,0,0,0,0,0,0
293,2014-03-28,2014,3,28,1,13,5,Friday,March,0,0,0,0,0,0,0
294,2014-03-29,2014,3,29,1,13,6,Saturday,March,1,0,0,0,0,0,0
295,2014-03-30,2014,3,30,1,13,7,Sunday,March,1,0,0,0,0,0,0
296,2014-03-31,2014,3,31,1,14,1,Monday,March,0,0,1,0,1,0,0
297,2014-04-01,2014,4,1,2,14,2,Tuesday,April,0,1,0,1,0,0,0
298,2014-04-02,2014,4,2,2,14,3,Wednesday,April,0,0,0,0,0,0,0
299,2014-04-03,2014,4,3,2,14,4,Thursday,April,0,0,0,0,0,0,0
300,2014-04-04,2014,4,4,2,14,5,Friday,April,0,0,0,0,0,0,0
301,2014-04-05,2014,4,5,2,14,6,Saturday,April,1,0,0,0,0,0,0
302,2014-04-06,2014,4,6,2,14,7,Sunday,April,1,0,0,0,0,0,0
303,2014-04-07,2014,4,7,2,15,1,Monday,April,0,0,0,0,0,0,0
304,2014-04-08,2014,4,8,2,15,2,Tuesday,April,0,0,0,0,0,0,0
305,2014-04-09,2014,4,9,2,15,3,Wednesday,April,0,0,0,0,0,0,0
306,2014-04-10,2014,4,10,2,15,4,Thursday,April,0,0,0,0,0,0,0
307,2014-04-11,2014,4,11,2,15,5,Friday,April,0,0,0,0,0,0,0
308,2014-04-12,2014,4,12,2,15,6,Saturday,April,1,0,0,0,0,0,0
